text,label
"Bom dia, poderia me informar o status do chamado 1234? Está em andamento há alguns dias.",Produtivo
"Estou com erro ao acessar o sistema. Aparece mensagem de falha ao autenticar. Podem ajudar?",Produtivo
"Segue em anexo o relatório solicitado. Caso precise de mais detalhes, me avise.",Produtivo
"Preciso de suporte: o botão de salvar não funciona e perdi as alterações.",Produtivo
"Olá! Feliz natal para você e sua família. Tudo de bom!",Improdutivo
"Obrigado pela ajuda de ontem, deu tudo certo. Abraços!",Improdutivo
"Parabéns pelo excelente trabalho do time. Só passando para agradecer.",Improdutivo
"Boa tarde! Apenas confirmando recebimento. Obrigado!",Improdutivo
"Prezados, há alguma previsão de resolução para a requisição 8891?",Produtivo
"Oi pessoal, feliz ano novo! 🎉",Improdutivo
